Date,Open,High,Low,Close,Volume,Adj Close
08/03/2001,107.17,107.34,105.37,106.47,6793600,90.15
09/03/2001,105,105.01,97.9,99.29,16688100,84.07
12/03/2001,97.9,98.4,95.02,95.49,14494800,80.85
13/03/2001,95.1,98.44,94.2,98.39,12127900,83.3
14/03/2001,95.4,98.9,93.34,94.96,14246600,80.4
15/03/2001,96,97.87,95.17,95.56,8420000,80.91
16/03/2001,93.9,93.9,88.2,90.1,20029400,76.29
19/03/2001,91,92.8,89.2,92.6,10235500,78.4
20/03/2001,91.6,92.03,88.1,88.3,10101100,74.76
21/03/2001,88.45,91.6,87.75,89.08,11013000,75.42
22/03/2001,89.12,91,87.65,89.1,13328200,75.44
23/03/2001,93.5,94.99,90.29,93.51,12233600,79.17
26/03/2001,95.25,95.66,93.75,95.4,8581200,80.77
27/03/2001,94,100,93.97,99.5,11851200,84.24
28/03/2001,97.9,98.45,94.25,94.41,11890500,79.94
29/03/2001,94.46,97.07,94.26,95.04,10553700,80.47
30/03/2001,96.5,97.56,95.14,96.18,9461300,81.43
02/04/2001,97.45,98.1,93.58,94.66,8787000,80.15
03/04/2001,94.6,94.65,90.1,90.39,13330000,76.53
04/04/2001,90.45,94.05,90.05,92,13515600,77.89
05/04/2001,95.8,100,95.53,98.21,12506100,83.15
06/04/2001,98,100,96.4,97.95,13424200,82.93
09/04/2001,98.5,98.74,93.8,96,9486600,81.28
10/04/2001,97,99.9,96.56,99.05,10499400,83.86
11/04/2001,101.5,101.94,95.8,97.43,11498400,82.49
12/04/2001,96.4,97.5,95.15,96.2,9390100,81.45
16/04/2001,96.2,99.89,95.2,96.75,9188500,81.92
17/04/2001,97,99.88,97,99.7,9957300,84.41
18/04/2001,103,110,102.3,106.5,19814300,90.17
19/04/2001,112,115.9,110.45,114.47,25822400,96.92
20/04/2001,114.35,116.4,113.75,114.83,12759100,97.22
23/04/2001,114.01,114.05,111.68,112,8537500,94.83
24/04/2001,113.4,114.75,112.3,112.67,8742000,95.4
25/04/2001,112,114.85,111.99,114.85,6858500,97.24
26/04/2001,114.95,116.7,113.68,113.74,7346100,96.3
27/04/2001,116.8,116.9,114.55,116.2,7390600,98.38
30/04/2001,116.4,118.05,114.72,115.14,7357200,97.49
01/05/2001,115.85,118.65,114.9,118.51,7790800,100.34
02/05/2001,118.3,118.95,113.74,115.4,9706200,97.71
03/05/2001,114.6,115.1,112.35,113.7,6578000,96.27
04/05/2001,112,115.86,111.2,115.86,8681400,98.1
07/05/2001,116.2,117.25,115,115.9,6088600,98.13
08/05/2001,117.25,117.75,115.5,117.7,7605800,99.77
09/05/2001,116.2,118.18,115.3,116.98,7680200,99.16
10/05/2001,118.5,118.9,115.2,115.2,7993900,97.66
11/05/2001,113.75,114.15,110.96,111.81,8390200,94.78
14/05/2001,111.2,113.18,111,112.56,5254800,95.42
15/05/2001,113.5,114.15,112.5,113.58,5873400,96.28
16/05/2001,999,115.8,112.2,115.8,7796700,98.16
17/05/2001,115.8,117.09,115.05,115.07,6887700,97.55
18/05/2001,115.07,117.68,114.9,117.44,6714900,99.55
21/05/2001,117.95,119.9,117.55,119.04,8409400,100.91
22/05/2001,119.7,119.7,117.25,118.01,6005300,100.04
23/05/2001,117.8,118.95,117.1,117.4,6402600,99.52
24/05/2001,117.5,119.6,117.5,119.6,7726400,101.39
25/05/2001,119.52,119.9,117.76,117.8,5629100,99.86
29/05/2001,117.35,117.59,115.08,115.27,5818000,97.71
30/05/2001,114,114.1,112,112.65,9598700,95.49
31/05/2001,112.65,113.86,111.64,111.8,6724100,94.77
01/06/2001,112.5,113.6,111.9,112.89,5138900,95.7
04/06/2001,113.25,114.75,112.85,113.64,3812200,96.33
05/06/2001,113.64,117.6,113.56,116.97,6154400,99.16
06/06/2001,117.6,119,116.5,117.5,9624200,99.61
07/06/2001,117,118.25,117,117.25,6423700,99.39
08/06/2001,117.5,117.5,115.6,116.1,3099100,98.42
11/06/2001,116.3,118.14,116.1,117.36,6542700,99.49
12/06/2001,116.75,117.8,115.55,117.25,7301500,99.39
13/06/2001,117.25,118.47,116.53,116.54,5703200,98.79
14/06/2001,115.6,116.08,113.99,115.75,7502500,98.12
15/06/2001,115.1,115.45,113.38,113.6,12470100,96.3
18/06/2001,113.98,115.44,113.31,114.27,5182800,96.87
19/06/2001,116.26,117.25,114.56,114.84,6152800,97.35
20/06/2001,113.5,114.99,111.76,113.09,8828300,95.87
21/06/2001,112.15,114.7,111.36,112.6,8155800,95.45
22/06/2001,112.6,114.43,112.5,112.87,5607200,95.68
25/06/2001,113.75,114.9,111.78,112.65,5675900,95.49
26/06/2001,111.25,114.05,111.1,113.04,7081900,95.82
27/06/2001,113.1,114.18,112.45,113.52,4814100,96.23
28/06/2001,113.8,116.95,113.75,115.1,8181000,97.57
29/06/2001,115.6,116.65,113,113.5,9477400,96.21
02/07/2001,113.5,115.4,112.96,114.35,5913100,96.93
03/07/2001,114.1,114.19,112.76,112.98,3325800,95.77
05/07/2001,112.6,113.26,111.79,112.1,4419000,95.03
06/07/2001,110.9,110.9,105.81,106.5,11704600,90.28
09/07/2001,106.5,106.95,103.65,104.72,9312600,88.77
10/07/2001,104.73,105.4,101.6,101.96,10266600,86.43
11/07/2001,101.6,104.13,101.56,103.85,8895400,88.03
12/07/2001,105.9,107.8,105.62,107.25,8766400,90.92
13/07/2001,106.15,109.3,106.11,108.53,7841800,92
16/07/2001,108.53,109.38,107.28,107.82,5330100,91.4
17/07/2001,106.1,108.58,104.75,108.53,8662400,92
